param sigma
: 1 2 :=
1	1e-05	0.99999
2	0.1	0.9
3	0.2	0.8
4	0.3	0.7
5	0.4	0.6
6	0.5	0.5
7	0.6	0.4
8	0.7	0.3
9	0.8	0.2
10	0.9	0.1
11	0.99999	1e-05
;

set O := 1 65;
set R := 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64;
set S := 1 65;
set K := 1 2 3 4 5 6 7 8 9 10 11 12 13;
param b := 62;
param theta := 4808.0;
param peso_vacio := 3500;
param alpha :=
0 0
1 0
2 0
3 0
4 0
;
param beta :=
0 0.2
1 -0.1
2 0
3 0
4 0
;
param gamma :=
0 16.4
1 2.2
2 2.2
3 0.6
4 0.4
;
param delta :=
0 0
1 0
2 0
3 0
4 0
;
param epsilon :=
0 0.3
1 0
2 0
3 0
4 0
;
param zeta :=
0 2.4
1 2.5
2 1.3
3 4.5
4 3.3
;
param hta :=
0 1
1 1
2 1
3 1
4 1
;
param dm :=
1 0
2 21
3 20
4 19
5 18
6 17
7 16
8 15
9 14
10 13
11 12
12 11
13 10
14 9
15 8
16 7
17 6
18 5
19 4
20 3
21 2
22 1
23 21
24 20
25 19
26 18
27 17
28 16
29 15
30 14
31 13
32 12
33 11
34 10
35 9
36 8
37 7
38 6
39 5
40 4
41 3
42 2
43 1
44 21
45 20
46 19
47 18
48 17
49 16
50 15
51 14
52 13
53 12
54 11
55 10
56 9
57 8
58 7
59 6
60 5
61 4
62 3
63 2
64 1
65 0
;
param d :=
1 1 0.00
1 2 9.66
1 3 8.41
1 4 7.26
1 5 6.18
1 6 5.14
1 7 4.13
1 8 3.13
1 9 2.17
1 10 1.24
1 11 0.58
1 12 1.02
1 13 1.92
1 14 2.89
1 15 3.88
1 16 4.89
1 17 5.93
1 18 7.02
1 19 8.17
1 20 9.43
1 21 10.94
1 22 13.17
1 23 16.75
1 24 17.76
1 25 18.58
1 26 19.27
1 27 19.88
1 28 20.43
