param sigma
: 1 2 :=
1	1e-05	0.99999
2	0.1	0.9
3	0.2	0.8
4	0.3	0.7
5	0.4	0.6
6	0.5	0.5
7	0.6	0.4
8	0.7	0.3
9	0.8	0.2
10	0.9	0.1
11	0.99999	1e-05
;

set O := 1 95;
set R := 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94;
set S := -1 -95;
set K := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38;
param b := 91;
param theta := 11909.0;
param peso_vacio := 3500;
param alpha :=
0 0
1 0
2 0
3 0
4 0
;
param beta :=
0 0.2
1 -0.1
2 0
3 0
4 0
;
param gamma :=
0 16.4
1 2.2
2 2.2
3 0.6
4 0.4
;
param delta :=
0 0
1 0
2 0
3 0
4 0
;
param epsilon :=
0 0.3
1 0
2 0
3 0
4 0
;
param zeta :=
0 2.4
1 2.5
2 1.3
3 4.5
4 3.3
;
param hta :=
0 1
1 1
2 1
3 1
4 1
;
param dm :=
1 0
2 31
3 30
4 29
5 28
6 27
7 26
8 25
9 24
10 23
11 22
12 21
13 20
14 19
15 18
16 17
17 16
18 15
19 14
20 13
21 12
22 11
23 10
24 9
25 8
26 7
27 6
28 5
29 4
30 3
31 2
32 1
33 31
34 30
35 29
36 28
37 27
38 26
39 25
40 24
41 23
42 22
43 21
44 20
45 19
46 18
47 17
48 16
49 15
50 14
51 13
52 12
53 11
54 10
55 9
56 8
57 7
58 6
59 5
60 4
61 3
62 2
63 1
64 31
65 30
66 29
67 28
68 27
69 26
70 25
71 24
72 23
73 22
74 21
75 20
76 19
77 18
78 17
79 16
80 15
81 14
82 13
83 12
84 11
85 10
86 9
87 8
88 7
89 6
90 5
91 4
92 3
93 2
94 1
95 0
;
